gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000183347.14	0	0	0	0	0	0
ENSG00000215874.3	0	0	0	0	0	0
ENSG00000225492.6	0	0	0	0	0	0
ENSG00000197147.13	773	889	814	899	879	816
ENSG00000231999.6	40	34	31	42	46	24
ENSG00000230735.1	0	0	0	0	0	0
ENSG00000171488.14	1545	1372	1345	1670	1780	1392
ENSG00000271949.1	0	0	0	0	0	0
ENSG00000226394.2	0	0	0	0	1	0
ENSG00000231613.1	0	1	0	0	1	0
ENSG00000272931.1	103	71	83	86	111	70
ENSG00000171492.14	3843	3842	3644	3863	3781	3646
ENSG00000272672.1	1	1	0	1	0	0
ENSG00000252797.1	0	0	0	0	0	0
ENSG00000228175.3	91	76	93	82	67	64
ENSG00000162664.16	5211	5582	5403	5555	5522	5202
ENSG00000212459.1	0	0	0	0	0	0
ENSG00000229201.1	0	0	0	0	0	1
ENSG00000199666.2	0	0	0	0	0	0
ENSG00000143032.7	0	0	0	0	0	0
ENSG00000233593.8	147	110	133	140	144	121
ENSG00000285532.1	0	0	0	0	1	0
ENSG00000225446.2	0	1	0	1	1	1
ENSG00000272094.1	0	0	1	0	1	0
ENSG00000232882.1	45	72	70	74	83	76
ENSG00000122482.20	1910	2019	1920	2068	2111	1801
ENSG00000232393.1	0	1	3	0	1	2
ENSG00000162669.15	5	6	9	7	11	2
ENSG00000206817.1	0	0	0	0	0	0
ENSG00000215873.2	0	0	0	0	1	0
ENSG00000097046.12	1162	1212	1266	1312	1344	1043
ENSG00000241318.3	0	1	0	0	2	0
ENSG00000229067.1	0	0	0	0	4	0
ENSG00000203914.4	15	2	4	4	14	2
ENSG00000069702.10	1308	1274	1060	1372	1145	1152
ENSG00000239794.3	0	0	0	0	0	0
ENSG00000137948.18	0	0	1	0	0	0
ENSG00000172031.6	22	19	10	18	22	11
ENSG00000233228.1	0	0	0	0	0	0
ENSG00000230667.5	12	8	8	10	9	9
ENSG00000189195.12	165	159	162	151	174	128
ENSG00000224678.3	0	1	0	0	0	0
ENSG00000233401.1	2	0	0	0	0	0
ENSG00000273487.1	3	0	1	0	1	1
ENSG00000226773.1	0	0	0	0	0	0
ENSG00000203910.8	0	0	0	0	0	0
ENSG00000233125.3	3	0	1	0	3	1
ENSG00000174842.16	692	747	764	847	821	673
ENSG00000122484.8	1044	1334	1153	1232	1232	1218
ENSG00000242764.3	0	0	0	0	0	0
ENSG00000162676.11	6	10	10	11	9	10
ENSG00000067208.14	1026	1020	1119	1163	1072	928
ENSG00000223787.2	1	2	0	0	1	0
ENSG00000229992.1	0	0	0	0	1	1
ENSG00000201317.1	0	0	0	0	0	0
ENSG00000225505.1	0	0	0	0	0	0
ENSG00000234202.2	0	0	0	0	0	0
ENSG00000223896.2	0	0	0	0	0	0
ENSG00000122406.13	39427	40859	43964	42681	44993	39447
ENSG00000154511.11	1135	1050	1127	1326	1301	1065
ENSG00000206680.1	0	0	0	0	0	0
ENSG00000207523.1	24	15	12	17	16	15
ENSG00000207022.1	0	0	0	0	0	0
ENSG00000229052.2	1	1	5	0	0	1
ENSG00000252121.1	0	0	0	0	0	0
ENSG00000239710.3	0	0	0	0	0	0
ENSG00000252752.1	0	0	0	0	0	0
ENSG00000222664.1	0	0	0	0	0	0
ENSG00000251837.1	0	0	0	0	0	0
ENSG00000143033.17	1296	1285	1412	1565	1522	1230
ENSG00000117500.12	4674	4147	4398	5119	4943	4355
ENSG00000122483.17	628	717	755	693	751	656
ENSG00000237003.1	0	0	0	0	0	0
ENSG00000225297.1	0	0	0	0	0	0
ENSG00000223745.7	712	549	635	600	877	541
ENSG00000229567.1	0	1	0	0	1	0
ENSG00000117505.12	2394	2514	2567	2655	2658	2535
ENSG00000229635.1	0	0	0	0	0	0
ENSG00000207379.1	0	0	0	1	0	0
ENSG00000137942.16	3358	3183	3619	3844	4041	3188
ENSG00000212601.1	0	0	0	0	0	0
ENSG00000137936.17	3767	3231	3267	3871	3293	3019
ENSG00000224093.5	0	1	3	5	7	2
ENSG00000211575.3	0	2	0	0	2	2
ENSG00000260464.1	41	24	39	28	32	31
ENSG00000067334.13	4177	4335	4336	4526	4319	3992
ENSG00000023909.9	11594	12180	12978	14529	12696	11828
ENSG00000223490.2	0	0	0	0	0	0
ENSG00000234099.1	0	0	0	0	0	0
ENSG00000235794.1	0	0	0	0	0	0
ENSG00000232752.1	0	0	0	0	0	0
ENSG00000229842.2	0	0	0	0	0	0
ENSG00000250890.1	0	0	0	0	0	0
ENSG00000236689.1	0	0	0	0	0	0
ENSG00000226960.1	0	0	0	0	0	0
ENSG00000233129.1	0	0	0	0	0	0
ENSG00000198691.12	14	7	8	10	8	11
ENSG00000233482.1	0	0	0	0	0	0
ENSG00000137962.12	3495	3785	3236	3537	3455	3274
ENSG00000264963.2	0	0	0	0	0	0
ENSG00000226835.2	3	3	5	3	1	3
ENSG00000178596.10	0	0	1	0	0	0
ENSG00000236098.1	5	6	2	9	6	3
ENSG00000232918.2	0	0	0	0	0	0
ENSG00000117528.12	4437	4652	4816	4787	4952	4189
ENSG00000117525.13	450	454	406	378	493	463
ENSG00000223675.1	0	0	0	1	0	0
ENSG00000224081.8	87	61	84	79	93	49
ENSG00000232857.2	0	0	0	0	0	0
ENSG00000263526.1	0	0	0	0	0	0
ENSG00000143036.16	182	198	203	199	175	170
ENSG00000117519.15	6123	5520	6601	7150	6016	5058
ENSG00000235501.5	129	98	115	119	101	71
ENSG00000172339.9	619	633	683	694	681	663
ENSG00000230427.1	0	0	0	0	0	1
ENSG00000152078.9	2736	2803	3051	3526	3123	2939
ENSG00000271092.5	23	16	28	29	19	18
ENSG00000231992.1	8	6	12	7	11	4
ENSG00000206679.1	0	0	0	0	0	0
ENSG00000226026.5	25	18	22	31	13	18
ENSG00000122481.16	173	201	178	169	216	165
ENSG00000228852.6	1	0	0	0	1	0
ENSG00000228504.1	0	0	0	0	0	0
ENSG00000230434.2	0	0	0	0	0	0
ENSG00000237954.7	0	0	0	0	0	0
ENSG00000233907.1	0	0	0	0	0	0
ENSG00000228971.2	0	0	0	0	0	0
ENSG00000271252.1	0	0	0	0	0	0
ENSG00000237435.9	0	0	0	0	0	0
ENSG00000200800.1	0	0	0	0	0	0
ENSG00000231987.1	0	0	0	0	0	0
ENSG00000225923.1	0	0	0	0	0	0
ENSG00000234422.1	0	0	0	0	0	0
ENSG00000228502.1	92	60	56	54	74	52
ENSG00000241992.3	0	0	0	0	0	0
ENSG00000234226.5	0	0	0	0	0	0
ENSG00000137970.7	292	217	242	262	330	235
ENSG00000223229.1	0	0	0	0	0	0
ENSG00000117569.18	871	746	791	707	1034	715
ENSG00000188641.13	682	732	821	899	806	682
ENSG00000232878.3	0	0	0	0	0	0
ENSG00000232542.1	0	0	0	0	0	0
ENSG00000228057.1	29	38	36	42	44	28
ENSG00000226128.1	0	0	0	0	0	0
ENSG00000230718.1	0	0	0	0	0	0
ENSG00000235777.1	0	0	0	0	0	0
ENSG00000270911.1	0	0	0	0	0	0
ENSG00000225206.9	122	129	125	152	125	125
ENSG00000259946.1	6	3	6	5	7	2
ENSG00000284247.1	0	0	0	0	0	0
ENSG00000284202.1	0	0	0	0	0	0
ENSG00000285922.1	1	2	2	3	1	1
ENSG00000233557.2	0	0	0	0	2	0
ENSG00000226053.1	27	28	21	26	28	29
ENSG00000280040.1	1	0	0	0	1	0
ENSG00000162627.16	1539	1524	1563	1670	1664	1343
ENSG00000117598.11	0	0	0	0	0	0
ENSG00000232825.2	0	0	0	0	0	0
ENSG00000227034.1	2	0	2	3	1	0
ENSG00000117600.12	0	2	1	0	1	0
ENSG00000233983.2	0	0	0	0	0	0
ENSG00000224445.3	0	0	0	0	0	0
ENSG00000099260.10	303	236	264	296	295	247
ENSG00000223656.1	0	0	1	0	0	0
ENSG00000156869.13	158	167	197	238	182	178
ENSG00000201491.1	0	0	0	0	0	0
ENSG00000202254.1	0	0	0	0	0	0
ENSG00000231996.1	0	0	0	0	0	0
ENSG00000162688.16	1602	1371	1634	1715	1905	1243
ENSG00000228084.1	17	7	22	21	15	8
ENSG00000117620.14	754	656	839	833	1009	767
ENSG00000283761.1	8	1	7	7	6	4
ENSG00000212248.1	0	0	0	0	1	0
ENSG00000202259.1	0	0	0	0	0	0
ENSG00000156875.13	263	228	249	256	234	209
ENSG00000241073.1	0	0	0	0	0	0
ENSG00000156876.9	639	826	808	811	804	740
ENSG00000226952.1	0	0	0	0	0	0
ENSG00000122435.9	776	904	909	889	956	864
ENSG00000122477.12	27	14	29	18	23	13
ENSG00000137992.14	1005	1103	1189	1280	1163	1064
ENSG00000271415.1	0	0	1	0	0	0
ENSG00000225169.1	1	0	2	0	0	0
ENSG00000285530.1	0	0	0	1	0	0
ENSG00000230287.3	0	0	0	0	0	1
ENSG00000224616.2	29	20	20	26	16	19
ENSG00000137996.12	1917	1954	1957	2034	1972	1832
ENSG00000207750.1	2	1	1	1	1	0
ENSG00000215871.2	0	0	0	0	0	0
ENSG00000223906.1	0	0	0	0	0	0
ENSG00000079335.19	285	233	272	278	266	196
ENSG00000234332.1	1	1	0	0	3	0
ENSG00000228086.1	0	0	0	0	2	0
ENSG00000181656.6	0	0	0	0	1	0
ENSG00000213421.4	0	0	0	0	0	0
ENSG00000230402.2	0	0	0	0	0	0
ENSG00000285525.1	0	0	0	0	1	0
ENSG00000224685.1	0	0	0	0	0	2
ENSG00000162692.11	6	13	1	2	5	2
ENSG00000162694.13	1007	845	1045	1035	1187	777
ENSG00000273204.1	34	25	32	20	23	19
ENSG00000162695.11	1014	967	1138	1124	1316	941
ENSG00000230946.3	0	0	0	0	1	0
ENSG00000117543.20	1510	1654	1722	1743	1721	1561
ENSG00000235795.1	2	3	3	2	5	3
ENSG00000233184.6	432	382	397	400	388	371
ENSG00000252765.1	0	0	0	0	0	0
ENSG00000271578.1	0	0	0	0	0	0
ENSG00000225938.1	0	0	0	0	0	0
ENSG00000170989.9	4	0	2	6	1	1
ENSG00000228399.1	5	3	4	0	3	2
ENSG00000173810.9	0	0	0	0	2	0
ENSG00000231671.1	0	0	0	0	0	0
ENSG00000226715.3	0	0	0	0	0	0
ENSG00000252530.1	0	0	0	0	0	0
ENSG00000183298.5	47	23	30	25	39	29
ENSG00000118733.16	0	0	0	0	0	0
ENSG00000252717.1	0	0	0	0	0	0
ENSG00000271277.1	0	0	0	0	0	0
ENSG00000162699.5	0	0	0	0	0	0
ENSG00000233359.1	0	0	0	0	0	0
ENSG00000230864.1	0	0	0	0	0	0
ENSG00000060718.21	2498	1999	2586	3226	2530	2065
ENSG00000234257.1	1	0	0	0	0	0
ENSG00000230759.1	0	0	0	0	0	0
ENSG00000224613.6	1	0	0	1	4	1
ENSG00000222069.1	0	0	0	0	0	0
ENSG00000185946.15	580	508	539	635	557	487
ENSG00000240038.6	53	30	42	48	51	31
ENSG00000236085.1	0	0	0	0	0	0
ENSG00000243480.7	1	0	0	0	1	0
ENSG00000237763.9	0	0	0	0	0	0
ENSG00000234441.1	0	0	0	0	0	0
ENSG00000174876.16	0	0	0	0	0	0
ENSG00000227408.1	0	0	0	0	0	0
ENSG00000187733.6	0	0	0	0	0	0
ENSG00000225191.1	0	0	0	0	0	0
ENSG00000215869.4	1	0	0	1	0	0
ENSG00000228347.1	5	4	3	2	3	2
ENSG00000285981.1	0	0	0	0	0	0
ENSG00000225036.1	0	0	0	0	0	0
ENSG00000230768.8	0	0	0	0	0	0
ENSG00000227850.1	2	1	2	0	2	0
ENSG00000237897.2	1	2	2	1	2	1
ENSG00000232952.1	10	7	5	5	9	6
ENSG00000233047.6	0	0	0	0	0	0
ENSG00000237480.2	0	0	0	0	0	0
ENSG00000230932.2	0	0	0	0	0	0
ENSG00000270342.1	0	0	0	0	0	0
ENSG00000270976.1	0	0	0	0	0	0
ENSG00000233449.1	0	0	0	0	0	0
ENSG00000232551.2	0	0	0	0	0	0
ENSG00000237460.2	0	0	0	0	0	0
ENSG00000198890.8	0	0	0	0	0	0
ENSG00000162631.18	0	0	0	0	0	0
ENSG00000224550.1	8	1	4	3	10	5
ENSG00000134215.15	842	671	902	1186	773	600
ENSG00000275455.1	0	0	0	0	0	0
ENSG00000230489.1	0	0	0	0	0	0
ENSG00000226822.2	0	0	0	0	0	0
ENSG00000085491.16	1090	1178	1172	1129	1188	1026
ENSG00000260879.1	0	0	0	1	3	0
ENSG00000280186.1	0	0	0	0	0	0
ENSG00000196427.13	2	3	3	6	6	4
ENSG00000238122.1	0	0	0	0	0	0
ENSG00000241361.8	1	0	1	1	2	1
ENSG00000243967.4	0	0	0	0	0	0
ENSG00000238118.1	0	0	0	0	0	0
ENSG00000224698.1	0	0	0	0	0	0
ENSG00000186086.18	0	1	0	0	0	0
ENSG00000283354.1	0	0	0	0	0	0
ENSG00000227832.1	0	0	0	0	0	0
ENSG00000226483.2	0	0	0	0	0	0
ENSG00000162636.15	1134	1124	1197	1324	1232	1044
ENSG00000162639.15	607	427	511	571	516	426
ENSG00000285923.1	5	6	7	6	4	1
ENSG00000134186.11	4378	4395	5355	5382	4890	4421
ENSG00000143107.8	4	1	2	1	0	1
ENSG00000232971.2	0	0	0	0	0	0
ENSG00000116266.10	2162	1889	2090	2256	2313	1952
ENSG00000228076.2	0	0	0	0	0	0
ENSG00000162641.18	40	22	19	35	26	18
ENSG00000274068.1	0	0	0	0	0	0
ENSG00000203897.3	0	0	0	0	0	0
ENSG00000121957.13	1200	1288	1190	1442	1254	1111
ENSG00000121940.15	2085	2169	2186	2240	2302	2170
ENSG00000085433.15	918	834	823	943	886	825
ENSG00000237349.1	1	1	1	0	1	0
ENSG00000244716.3	165	47	66	54	215	37
ENSG00000228665.2	2	0	0	2	4	0
ENSG00000228054.2	0	0	0	1	1	1
ENSG00000197780.9	1567	1538	1527	1616	1606	1437
ENSG00000273382.1	180	168	173	182	201	137
ENSG00000215717.5	1033	867	986	1019	1144	855
ENSG00000278249.1	0	0	0	0	0	0
ENSG00000270066.3	0	0	0	0	0	0
ENSG00000251484.3	0	0	0	0	0	0
ENSG00000179902.12	1	0	1	0	1	0
ENSG00000116299.16	123	130	114	97	108	113
ENSG00000031698.12	6621	6221	7178	7314	7011	6447
ENSG00000143126.7	1693	1746	1754	2054	1942	1543
ENSG00000134222.16	1278	1146	1330	1336	1198	1128
ENSG00000221986.6	0	1	0	1	0	2
ENSG00000134243.11	1827	1372	1453	1836	1603	1368
ENSG00000143106.12	5975	6494	6794	6765	6656	6089
ENSG00000143028.8	7	7	9	8	7	9
ENSG00000162650.16	224	189	207	230	206	191
ENSG00000174151.14	756	727	815	822	896	697
ENSG00000181754.6	218	213	218	238	211	190
ENSG00000156097.12	2	3	0	0	1	0
ENSG00000254942.1	0	0	0	0	0	0
ENSG00000065135.10	6067	6282	6609	6516	6527	5926
ENSG00000206832.1	0	0	0	0	1	0
ENSG00000225113.1	0	0	0	0	0	0
ENSG00000284443.1	0	0	0	0	0	0
ENSG00000134183.11	6	3	7	4	4	8
ENSG00000116337.15	3705	2984	3250	3946	3401	2879
ENSG00000228703.1	1	1	2	2	4	0
ENSG00000235045.2	0	1	2	0	0	0
ENSG00000168765.16	601	549	575	613	566	538
ENSG00000213366.12	149	119	145	136	148	95
ENSG00000134184.12	0	0	0	3	1	2
ENSG00000260246.1	0	0	0	0	0	0
ENSG00000134201.11	0	1	0	0	0	1
ENSG00000241720.2	0	0	0	0	0	1
ENSG00000134202.10	1146	1011	976	1228	964	882
ENSG00000198758.10	117	94	160	174	137	101
ENSG00000224927.2	1	0	0	0	1	0
ENSG00000228420.1	6	4	4	6	4	6
ENSG00000235005.1	0	0	0	0	0	0
ENSG00000261055.1	0	2	0	0	0	0
ENSG00000184371.13	6085	5455	4360	5591	4746	5275
ENSG00000168710.17	18225	17287	16222	17982	17959	16461
ENSG00000143093.14	1793	1694	1832	2100	1809	1657
ENSG00000258634.3	420	382	403	429	541	369
ENSG00000156150.7	0	0	2	0	0	0
ENSG00000258673.1	2	3	4	3	3	4
ENSG00000186150.4	2	1	1	1	0	0
ENSG00000197106.6	522	502	593	622	622	493
ENSG00000227091.1	0	0	0	1	0	0
ENSG00000235526.1	0	0	0	0	0	0
ENSG00000224965.1	3	7	5	3	3	1
ENSG00000116396.14	353	391	417	487	356	367
ENSG00000282852.1	0	2	0	0	0	0
ENSG00000200536.1	0	0	0	0	0	0
ENSG00000227963.1	51	61	52	67	55	49
ENSG00000162775.14	1189	1274	1261	1451	1450	1140
ENSG00000224699.8	110	57	97	87	137	67
ENSG00000168679.17	5480	3699	4734	5260	5678	3685
ENSG00000273373.1	35	41	27	30	47	27
ENSG00000134248.13	4744	3998	4896	5102	5021	4059
ENSG00000143125.5	2	0	0	1	1	0
ENSG00000270380.1	0	0	0	0	0	0
ENSG00000282887.2	0	0	0	0	0	0
ENSG00000283999.1	0	0	0	0	0	0
ENSG00000240194.7	1	0	0	2	1	0
ENSG00000235407.1	0	0	0	0	0	0
ENSG00000143105.7	0	1	0	0	0	0
ENSG00000177301.14	8	14	9	21	14	5
ENSG00000259834.1	0	0	0	0	0	0
ENSG00000177272.8	0	0	0	0	0	0
ENSG00000199710.1	0	0	0	0	0	0
ENSG00000237415.2	1	3	2	4	4	0
ENSG00000232791.4	0	0	0	0	0	0
ENSG00000143119.13	0	0	0	1	0	0
ENSG00000261654.1	10	14	13	15	17	14
ENSG00000232811.1	0	0	0	0	0	1
ENSG00000121931.15	1235	1324	1284	1392	1250	1336
ENSG00000273010.1	22	19	22	16	16	21
ENSG00000225672.1	0	0	0	0	0	0
ENSG00000252760.1	0	0	0	0	0	0
ENSG00000156171.14	1187	1178	1227	1261	1354	1096
ENSG00000134255.13	1013	1056	1030	1142	1133	1005
ENSG00000272982.1	0	0	1	2	0	1
ENSG00000273221.1	7	3	4	8	10	2
ENSG00000162777.16	98	88	87	104	106	84
ENSG00000064886.13	19	9	8	19	17	4
ENSG00000236040.1	2	0	0	0	0	0
ENSG00000203878.11	0	0	0	0	0	0
ENSG00000134216.18	0	0	0	0	0	0
ENSG00000229283.1	0	0	0	0	0	0
ENSG00000232240.2	0	0	0	0	0	0
ENSG00000173947.13	31	26	38	32	29	18
ENSG00000234020.1	0	0	0	0	0	0
ENSG00000236012.2	2	1	1	0	0	0
ENSG00000227179.6	0	1	0	0	0	0
ENSG00000085465.12	47	36	55	52	55	40
ENSG00000260948.1	45	30	40	36	45	43
ENSG00000233337.1	0	0	0	0	0	0
ENSG00000243960.1	10	16	15	13	18	17
ENSG00000116455.13	2271	2537	2431	2511	2252	2464
ENSG00000199890.1	0	0	0	0	0	0
ENSG00000116459.10	6842	8241	7950	7742	7520	7246
ENSG00000143110.11	16	15	13	16	23	7
ENSG00000121933.18	0	0	0	0	0	0
ENSG00000200360.1	0	0	0	0	0	0
ENSG00000282608.1	0	0	0	0	0	0
ENSG00000116473.14	1659	1531	1694	1887	1938	1587
ENSG00000231346.5	6	7	7	5	2	6
ENSG00000215867.4	1	1	1	1	2	0
ENSG00000201028.1	0	0	0	0	0	0
ENSG00000197852.10	9	10	9	9	10	6
ENSG00000284755.1	4	0	0	0	0	2
ENSG00000227811.2	58	81	95	67	102	57
ENSG00000284830.1	1	1	2	1	3	2
ENSG00000064703.11	1389	1266	1350	1490	1451	1167
ENSG00000171385.9	6	7	1	0	1	5
ENSG00000232558.1	0	0	0	0	0	0
ENSG00000237556.1	0	0	0	0	0	0
ENSG00000231437.3	0	0	0	0	0	0
ENSG00000231246.1	0	0	0	0	0	0
ENSG00000234388.2	0	0	0	0	0	0
ENSG00000238761.1	0	0	0	0	0	0
ENSG00000143079.14	1198	1122	1246	1423	1318	1059
ENSG00000283296.1	0	0	0	0	0	0
ENSG00000134245.17	80	49	60	73	79	55
ENSG00000273483.1	3	1	0	2	1	4
ENSG00000007341.18	477	466	517	538	533	498
ENSG00000116489.12	8669	9190	9126	9783	9356	8562
ENSG00000235299.2	0	0	0	0	0	0
ENSG00000252750.1	0	0	0	0	0	0
ENSG00000155363.18	3011	2553	3090	3140	3212	2439
ENSG00000225075.1	0	0	4	3	2	2
ENSG00000155366.16	2774	2674	2751	3186	2907	2561
ENSG00000271810.5	0	0	0	0	0	0
ENSG00000155367.15	25	19	21	18	20	21
ENSG00000261595.1	2	0	1	1	2	1
ENSG00000184599.13	3	5	5	5	3	1
ENSG00000234790.1	0	0	0	0	0	0
ENSG00000215866.7	9	3	3	4	7	4
ENSG00000224167.1	10	6	10	11	5	5
ENSG00000228040.1	3	2	1	1	1	1
ENSG00000155380.11	709	678	762	785	830	734
ENSG00000229020.4	0	0	0	0	0	0
ENSG00000226419.7	20	18	25	18	20	14
ENSG00000238198.1	4	4	2	3	6	1
ENSG00000198799.11	716	728	741	746	851	633
ENSG00000237278.2	0	0	0	0	0	0
ENSG00000233839.1	4	0	0	2	0	2
ENSG00000236887.1	1	0	1	1	2	0
ENSG00000081026.18	723	869	855	943	943	781
ENSG00000232499.2	65	34	38	29	72	24
ENSG00000238256.1	0	0	0	0	0	0
ENSG00000116793.15	1389	1228	1525	1566	1501	1185
ENSG00000232450.1	31	20	20	31	29	24
ENSG00000081019.13	596	525	582	672	651	528
ENSG00000231128.5	0	0	0	0	0	0
ENSG00000134242.15	0	2	0	1	0	1
ENSG00000226167.1	5	0	0	2	4	0
ENSG00000188761.12	62	52	65	58	64	44
ENSG00000134262.12	831	787	834	852	791	748
ENSG00000118655.5	784	717	802	788	886	671
ENSG00000235527.6	4	4	6	2	6	3
ENSG00000163349.21	3133	3165	3177	3406	3666	3072
ENSG00000116774.11	513	431	538	658	507	409
ENSG00000270780.1	0	0	0	0	0	0
ENSG00000282048.1	1	1	5	9	0	1
ENSG00000134207.16	60	76	94	111	68	59
ENSG00000232895.2	0	0	0	0	0	1
ENSG00000273698.1	0	0	0	0	0	0
ENSG00000271419.1	0	0	0	0	0	0
ENSG00000197323.11	2187	2015	2200	2244	2683	1966
ENSG00000226984.1	1	0	0	0	0	0
ENSG00000225650.2	0	0	0	0	0	0
ENSG00000201114.1	0	0	0	0	0	0
ENSG00000236480.1	86	32	23	21	62	15
ENSG00000116752.5	1691	1786	1775	1756	1809	1711
ENSG00000175984.14	29	32	37	28	41	28
ENSG00000116748.21	1	0	0	0	0	0
ENSG00000242769.3	0	0	0	0	0	0
ENSG00000213281.4	4779	4960	4935	5420	5310	4871
ENSG00000009307.15	23555	23981	24965	25564	24471	22607
ENSG00000201900.1	0	0	0	0	0	0
ENSG00000052723.11	1064	1153	1248	1247	1346	1114
ENSG00000227970.1	0	0	0	0	0	0
ENSG00000198765.11	0	0	0	0	0	0
ENSG00000134200.3	0	0	0	0	0	0
ENSG00000134198.9	254	198	207	227	285	205
ENSG00000233730.1	0	0	0	0	0	1
ENSG00000285698.1	1	2	0	2	1	1
ENSG00000228035.1	0	1	3	1	1	1
ENSG00000134259.3	53	64	62	71	60	59
ENSG00000226973.1	0	0	0	0	0	0
ENSG00000274468.1	0	0	0	0	0	0
ENSG00000229101.1	0	0	0	0	0	0
ENSG00000232185.1	0	1	0	0	0	1
ENSG00000270631.1	0	0	0	0	0	0
ENSG00000239984.3	0	0	0	0	0	0
ENSG00000207502.1	0	0	0	0	0	0
ENSG00000173218.14	2840	2719	3011	3292	3176	2625
ENSG00000118729.11	0	0	0	0	1	0
ENSG00000177551.5	0	0	0	0	0	0
ENSG00000214204.4	2	1	3	0	3	0
ENSG00000271143.1	0	0	0	0	0	0
ENSG00000228127.2	0	0	0	0	0	0
ENSG00000163393.12	97	109	124	121	119	81
ENSG00000237993.1	0	0	0	0	0	0
ENSG00000173212.4	1	3	3	2	2	4
ENSG00000235933.1	0	0	0	0	0	0
ENSG00000221040.2	0	0	0	0	0	0
ENSG00000163399.15	15161	13519	15845	16904	15570	13161
ENSG00000203865.9	80	57	82	70	110	69
ENSG00000212385.1	1	0	1	1	2	0
ENSG00000233154.5	8	1	2	4	2	0
ENSG00000230381.2	0	0	0	0	0	0
ENSG00000200547.1	0	0	0	0	0	0
ENSG00000224950.2	34	48	32	28	36	33
ENSG00000116815.15	957	743	814	937	917	705
ENSG00000177173.5	16	28	10	17	29	15
ENSG00000264419.1	0	0	0	0	0	0
ENSG00000143061.17	4680	4351	4918	5494	5407	4272
ENSG00000211543.2	0	0	0	0	0	0
ENSG00000203864.3	0	0	0	0	0	0
ENSG00000231072.1	5	1	1	2	1	0
ENSG00000223489.1	0	0	0	0	0	0
ENSG00000116824.4	0	0	0	0	0	0
ENSG00000225079.2	0	0	0	0	0	0
ENSG00000272715.1	5	3	0	2	1	0
ENSG00000134247.9	2878	2386	2954	3210	3564	2587
ENSG00000252510.1	0	0	0	0	0	0
ENSG00000134256.12	28	23	34	26	37	20
ENSG00000236137.1	15	15	14	18	20	18
ENSG00000116830.11	2541	3040	3159	3120	3060	2606
ENSG00000215930.1	0	0	0	3	0	2
ENSG00000134253.9	352	267	364	391	346	275
ENSG00000228453.1	0	0	0	0	0	0
ENSG00000134258.16	9	17	5	4	3	9
ENSG00000277141.1	0	0	0	0	0	0
ENSG00000235202.1	0	0	0	0	0	0
ENSG00000271427.1	3	5	6	5	8	5
ENSG00000198162.12	2256	2346	2411	2651	2813	2148
ENSG00000279513.1	1	4	0	2	4	2
ENSG00000226755.2	1	0	0	0	0	1
ENSG00000236866.5	0	0	1	0	1	0
ENSG00000183508.4	27	19	24	36	42	19
ENSG00000213262.3	0	0	0	0	0	0
ENSG00000212266.1	0	0	0	0	0	0
ENSG00000270719.1	0	0	0	0	0	0
ENSG00000228217.1	0	0	0	0	1	0
ENSG00000196505.10	763	774	713	833	772	685
ENSG00000065183.15	4346	5191	5333	4871	5043	5070
ENSG00000155761.13	25	13	28	40	39	25
ENSG00000222209.1	0	0	0	0	0	0
ENSG00000226126.2	1	1	0	1	1	0
ENSG00000229911.2	0	0	0	0	0	0
ENSG00000092607.14	3	1	4	3	4	1
ENSG00000226172.2	0	0	0	0	0	0
ENSG00000239216.1	0	0	0	0	0	0
ENSG00000116874.11	539	544	511	579	559	514
ENSG00000224238.2	0	0	0	0	0	0
ENSG00000223575.2	1	0	0	0	0	0
ENSG00000236804.1	1	1	1	0	0	1
ENSG00000231365.5	336	398	376	466	411	376
ENSG00000227056.2	0	0	0	1	1	1
ENSG00000227712.1	0	0	0	0	0	0
ENSG00000232650.5	0	0	0	0	0	0
ENSG00000194297.2	0	0	0	0	0	0
ENSG00000116882.14	6	2	9	5	9	2
ENSG00000230921.1	0	0	0	0	0	0
ENSG00000203859.9	0	0	0	0	0	1
ENSG00000232780.2	0	0	0	0	0	0
ENSG00000203858.3	0	0	0	0	0	0
ENSG00000235595.1	0	0	1	0	0	0
ENSG00000187481.2	0	0	0	0	0	0
ENSG00000229570.2	0	1	2	2	3	0
ENSG00000203857.9	0	0	0	0	1	0
ENSG00000226443.3	0	0	0	0	0	0
ENSG00000249798.1	0	0	0	0	0	0
ENSG00000239873.2	0	0	0	0	0	0
ENSG00000203855.7	0	0	0	0	0	0
ENSG00000240244.3	0	0	0	0	0	1
ENSG00000260941.1	1	3	1	4	2	1
ENSG00000198857.3	1	3	0	0	1	2
ENSG00000143067.4	530	438	470	542	621	497
ENSG00000092621.12	3587	3744	4363	3997	4409	3640
ENSG00000134240.11	0	0	0	0	0	0
ENSG00000134193.14	0	0	0	1	0	0
ENSG00000215864.5	1	0	0	0	0	0
ENSG00000227205.4	0	0	0	0	0	0
ENSG00000226446.1	0	0	0	0	0	0
ENSG00000134249.6	0	0	0	0	0	0
ENSG00000261662.1	8	5	13	5	14	8
ENSG00000134250.19	4907	5729	5194	5482	6222	5429
ENSG00000273406.1	0	0	0	0	0	0
ENSG00000207149.1	0	0	0	0	0	0
ENSG00000265808.3	2078	1874	2124	2140	2184	1890
